parameter_group,delta,theta,Rmax,service_rate,overload_frequency,revenue_per_vehicle,price_volatility,spatial_imbalance,activation_frequency
delta,1,0,999,0.5041310440661363,0.55492,3121.656749422404,8.938468102625347,0.1010165,0.0752
delta,2,0,999,0.506742938347789,0.55224,3219.0020835417263,9.134486805944254,0.10068366666666666,0.06984
delta,3,0,999,0.5073573181242841,0.558,3260.8139025556393,9.21088613711146,0.10060408333333332,0.06848
theta,2,0,999,0.506742938347789,0.55224,3219.0020835417263,9.134486805944254,0.10068366666666666,0.06984
theta,2,1,999,0.5035011400909818,0.55704,3146.4615438226097,8.988194624758217,0.10118483333333332,0.07708
theta,2,2,999,0.5049064610514518,0.5592,3161.1028037763167,9.02707568081772,0.10111675,0.07876
Rmax,2,0,999,0.506742938347789,0.55224,3219.0020835417263,9.134486805944254,0.10068366666666666,0.06984
Rmax,2,0,15,0.505853914234924,0.5556,3213.318340017244,9.146336767398225,0.10084416666666668,0.06972
Rmax,2,0,10,0.5056462812198029,0.55192,3196.252282747309,9.09301600806078,0.10086308333333333,0.07224
