scenario,total_revenue,revenue_per_vehicle,completed_trips,revenue_per_completed_trip,average_price,service_rate,overload_frequency,average_idle_vehicles,idle_share,demand_supply_mismatch
passive,81487.68,1018.596,4490.78,18.145551552291582,17.166666666666668,0.6028085198992339,0.65432,59.13744,0.7392179999999999,0.13556541666666663
pricing_only,38195.50948898889,477.4438686123611,6987.26,5.466450295106936,9.298440879237559,0.705836368780042,0.45468000000000003,47.445240000000005,0.5930655,0.11097541666666663
rebalancing_only,90529.92,1131.624,5080.52,17.819026398872555,17.166666666666668,0.7452061743632763,0.35584000000000005,53.81664,0.672708,0.12323974999999997
interaction,30806.948027869566,385.0868503483696,8380.9,3.6758520001276196,5.269113968489594,0.7938348668559314,0.22536,35.930839999999996,0.44913549999999997,0.08932283333333331
governance,39411.357779491795,492.64197224364744,7509.34,5.248311806296131,8.059121961762177,0.756547903578073,0.31812,42.327439999999996,0.5290929999999999,0.10063149999999997
