fleet_size,scenario,total_revenue,revenue_per_vehicle,completed_trips,revenue_per_completed_trip,average_price,service_rate,overload_frequency,average_idle_vehicles,idle_share,demand_supply_mismatch
40,passive,76348.08,1908.7020000000002,4199.18,18.18166403916955,17.166666666666668,0.5441463502446008,0.76032,20.4752,0.51188,0.11467599999999999
40,pricing_only,44485.818457185225,1112.1454614296306,6356.28,6.9987191340194626,10.827447087639584,0.6639848411515142,0.56464,10.347719999999999,0.25869299999999995,0.06992583333333333
40,rebalancing_only,87557.98,2188.9495,4923.54,17.78354192308786,17.166666666666668,0.7088578882790435,0.42716,13.830119999999999,0.345753,0.08324433333333334
40,interaction,49467.326618847845,1236.6831654711962,6611.94,7.4815147473884895,10.70932747110311,0.7055119013663471,0.44612,4.65432,0.116358,0.0514265
60,passive,79425.84,1323.764,4370.14,18.17466717313404,17.166666666666668,0.5790012577029627,0.6871200000000001,39.66144,0.661024,0.12789255555555556
60,pricing_only,38456.35401338187,640.9392335563645,6949.24,5.533893492436852,9.340817103918095,0.7079623528731009,0.44536000000000003,27.59884,0.45998066666666665,0.09258777777777778
60,rebalancing_only,89537.16,1492.286,5023.3,17.824370433778594,17.166666666666668,0.7360470522062609,0.37752,33.96236,0.5660393333333332,0.10966055555555557
60,interaction,31718.29965860309,528.6383276433849,8299.9,3.8215279290838553,5.4600178052971815,0.7893347210370883,0.23143999999999998,16.15984,0.26933066666666666,0.064422
