scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,shock_profile,shock_multiplier,shock_type,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
interaction_demand_shock,none,none,none,none,5,500,76328.5053201458,636.0708776678817,0.3267,0.312644056634837,7.596,4.2773498625494035,0.12125833333333334,0.002,0.2307692307692307,0.424,0.0,56,abrupt,5.0,abrupt,0.6858198924731183,0.12125833333333334,0.002,25.46044910344519
interaction_demand_shock,none,none,none,none,6,500,87794.87395677312,731.623949639776,0.3086666666666666,0.341687552213868,8.18,5.15414031798754,0.12144166666666667,0.004,0.2626262626262626,0.498,0.0,71,abrupt,5.0,abrupt,0.6886176794643614,0.12144166666666667,0.004,25.483833028772086
interaction_demand_shock,none,none,none,none,7,500,92448.89548240777,770.4074623533979,0.3178833333333333,0.3328706727629,8.154,5.968624236863679,0.12256111111111112,0.006,0.2541322314049586,0.474,0.0,91,abrupt,5.0,abrupt,0.6756779307467669,0.12256111111111112,0.006,25.089613141015473
interaction_demand_shock,none,none,none,none,8,500,68305.26359773644,569.210529981137,0.3399166666666666,0.3031829814459373,7.582,3.622205355777448,0.1216,0.002,0.255533199195171,0.42,0.006,63,abrupt,5.0,abrupt,0.7035562862334516,0.1216,0.002,26.135490760848285
interaction_demand_shock,none,none,none,none,9,500,97371.44832150532,811.4287360125444,0.3253,0.3373474758752691,8.46,5.474802637062544,0.12196111111111112,0.002,0.2611336032388664,0.464,0.002,76,abrupt,5.0,abrupt,0.6863229654878569,0.12196111111111112,0.002,25.6086445580995
interaction_demand_shock,none,none,none,none,10,500,84970.4288307048,708.0869069225399,0.31965,0.3225190839694656,7.774,4.313888719951479,0.12100833333333334,0.006,0.255578093306288,0.486,0.002,70,abrupt,5.0,abrupt,0.6847635726795096,0.12100833333333334,0.006,25.66780303951456
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,1,500,72969.60840069588,608.080070005799,0.2952166666666667,0.5105416801816413,15.74,6.120034224544395,0.13455,0.182,0.1506024096385542,0.748,0.0,117,abrupt,5.0,abrupt,0.5398674572724103,0.13455,0.182,22.60139768994256
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,2,500,72832.60206495873,606.9383505413227,0.2945,0.5333005350224463,17.344,7.520553723541417,0.1348111111111111,0.194,0.1052631578947368,0.72,0.004,152,abrupt,5.0,abrupt,0.5398605420171088,0.1348111111111111,0.194,22.878642590032815
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,3,500,70001.47474858025,583.3456229048354,0.2991833333333333,0.507926402241039,15.956,5.045828953996927,0.13806666666666667,0.224,0.1995967741935483,0.772,0.0,136,abrupt,5.0,abrupt,0.5017196034796683,0.13806666666666667,0.224,22.795674482701973
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,4,500,70481.13554210847,587.3427961842373,0.29635,0.5074230145867099,15.654,5.708256142648859,0.1357861111111111,0.202,0.1546184738955823,0.78,0.004,142,abrupt,5.0,abrupt,0.5321699652408314,0.1357861111111111,0.202,24.487655226601966
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,5,500,76321.65137553676,636.0137614628063,0.2935666666666667,0.5210929099993675,16.478,5.457196477672202,0.13797500000000001,0.214,0.1599190283400809,0.772,0.004,146,abrupt,5.0,abrupt,0.501113736078299,0.13797500000000001,0.214,23.9429419061776
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,6,500,68789.96525549678,573.2497104624731,0.2884333333333333,0.5024788958863727,15.0,5.073554378108892,0.13550277777777778,0.182,0.2137096774193548,0.826,0.0,112,abrupt,5.0,abrupt,0.5357605410850482,0.13550277777777778,0.182,25.028911660040194
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,7,500,76576.1868915395,638.1348907628292,0.291,0.5483241925655088,17.996,5.268186967503039,0.133325,0.132,0.1686746987951807,0.818,0.002,136,abrupt,5.0,abrupt,0.5569159014720886,0.133325,0.132,24.346870762034428
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,8,500,70234.99745320856,585.2916454434047,0.3045,0.4793432556897817,14.364,5.488481933144267,0.13538333333333333,0.206,0.1307847082494969,0.744,0.0,127,abrupt,5.0,abrupt,0.5224941884315603,0.13538333333333333,0.206,22.69935174043758
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,9,500,73121.39523667522,609.3449603056268,0.28775,0.5169032258064516,16.024,5.522116646091819,0.13821666666666668,0.228,0.1164658634538152,0.77,0.0,110,abrupt,5.0,abrupt,0.5159045725646123,0.13821666666666668,0.228,23.130153168737348
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,10,500,77692.18671776305,647.4348893146921,0.2954166666666666,0.5356573949270923,17.486,5.738147538545221,0.1386527777777778,0.262,0.1506024096385542,0.732,0.008,153,abrupt,5.0,abrupt,0.5035868005738882,0.1386527777777778,0.262,23.218785636009056
interaction_demand_shock,none,none,none,none,1,500,107223.42201382708,893.5285167818923,0.3195,0.3627688697692608,9.276,7.162787122854431,0.12139722222222223,0.002,0.2464358452138492,0.524,0.002,101,strong_ramp,6.0,ramp,0.6897544453852666,0.12139722222222223,0.002,25.271415946693356
interaction_demand_shock,none,none,none,none,2,500,106261.33718964536,885.5111432470446,0.3194833333333333,0.3420670751370526,8.486,7.313677001770476,0.11916111111111112,0.002,0.2382892057026476,0.49,0.006,87,strong_ramp,6.0,ramp,0.7047603250953723,0.11916111111111112,0.002,23.930805250972288
interaction_demand_shock,none,none,none,none,3,500,104473.78807399144,870.6149006165953,0.3202166666666666,0.3421389689401217,8.548,6.505166985632984,0.12056111111111112,0.004,0.2697768762677485,0.448,0.012,102,strong_ramp,6.0,ramp,0.693907115466553,0.12056111111111112,0.004,25.645633770501384
interaction_demand_shock,none,none,none,none,4,500,96561.3447933941,804.6778732782842,0.3093166666666667,0.3667093880166613,9.156,5.925094138478721,0.12040555555555556,0.002,0.2414486921529175,0.522,0.006,80,strong_ramp,6.0,ramp,0.7036682892906815,0.12040555555555556,0.002,25.239602362071665
interaction_demand_shock,none,none,none,none,5,500,97471.2394873964,812.2603290616368,0.3177666666666666,0.3451128423419806,8.594,6.604733230297801,0.12125833333333334,0.002,0.2591093117408907,0.492,0.004,85,strong_ramp,6.0,ramp,0.6858198924731183,0.12125833333333334,0.002,25.46044910344519
interaction_demand_shock,none,none,none,none,6,500,94511.17773789851,787.593147815821,0.3241333333333333,0.3321506330134666,8.238,5.784430856122075,0.12144166666666667,0.004,0.2666666666666666,0.438,0.004,83,strong_ramp,6.0,ramp,0.6886176794643614,0.12144166666666667,0.004,25.483833028772086
interaction_demand_shock,none,none,none,none,7,500,100695.53444345648,839.1294536954707,0.3193333333333333,0.3420756234915527,8.504,6.592431599985667,0.12256111111111112,0.006,0.2376033057851239,0.46,0.006,104,strong_ramp,6.0,ramp,0.6756779307467669,0.12256111111111112,0.006,25.089613141015473
interaction_demand_shock,none,none,none,none,8,500,106532.84893091134,887.7737410909278,0.3180333333333333,0.349594800609805,8.714,6.220772728658766,0.1216,0.002,0.2837022132796781,0.528,0.012,99,strong_ramp,6.0,ramp,0.7035562862334516,0.1216,0.002,26.135490760848285
interaction_demand_shock,none,none,none,none,9,500,116390.42871558128,969.9202392965108,0.31275,0.3451969022903279,8.38,8.146016554541108,0.12196111111111112,0.002,0.2631578947368421,0.416,0.008,118,strong_ramp,6.0,ramp,0.6863229654878569,0.12196111111111112,0.002,25.6086445580995
interaction_demand_shock,none,none,none,none,10,500,94332.43740245544,786.1036450204618,0.3160666666666666,0.3375355835705571,8.3,5.406499286103718,0.12100833333333334,0.006,0.2190669371196754,0.496,0.012,75,strong_ramp,6.0,ramp,0.6847635726795096,0.12100833333333334,0.006,25.66780303951456
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,1,500,77924.65283441587,649.3721069534656,0.2924333333333333,0.5640670132871173,19.528,5.981944771146604,0.13455,0.182,0.1595959595959596,0.82,0.014,183,strong_ramp,6.0,ramp,0.5398674572724103,0.13455,0.182,22.60139768994256
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,2,500,72668.34307103904,605.569525591992,0.2844333333333333,0.5286652636949174,16.58,6.557520953300467,0.1348111111111111,0.194,0.1768292682926829,0.772,0.012,158,strong_ramp,6.0,ramp,0.5398605420171088,0.1348111111111111,0.194,22.878642590032815
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,3,500,76507.32486333551,637.561040527796,0.29795,0.5185553552557967,16.684,5.756651633200772,0.13806666666666667,0.224,0.1767068273092369,0.722,0.012,187,strong_ramp,6.0,ramp,0.5017196034796683,0.13806666666666667,0.224,22.795674482701973
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,4,500,76120.39444870668,634.336620405889,0.2953166666666666,0.5386618225855283,17.792,5.902545162277985,0.1357861111111111,0.202,0.1875,0.834,0.022,164,strong_ramp,6.0,ramp,0.5321699652408314,0.1357861111111111,0.202,24.487655226601966
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,5,500,78819.56180334298,656.8296816945248,0.2969833333333333,0.5409551201390137,18.056,4.830880240430363,0.13797500000000001,0.214,0.1606425702811245,0.798,0.008,181,strong_ramp,6.0,ramp,0.501113736078299,0.13797500000000001,0.214,23.9429419061776
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,6,500,69522.85087112288,579.3570905926906,0.2933833333333333,0.5179615705931495,16.12,5.915017589098959,0.13550277777777778,0.182,0.1133603238866396,0.718,0.002,122,strong_ramp,6.0,ramp,0.5357605410850482,0.13550277777777778,0.182,25.028911660040194
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,7,500,73929.10924987338,616.0759104156115,0.2989833333333333,0.5110871084566999,16.088,5.106303745470884,0.133325,0.132,0.1526104417670682,0.764,0.006,155,strong_ramp,6.0,ramp,0.5569159014720886,0.133325,0.132,24.346870762034428
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,8,500,71426.12981597998,595.2177484664998,0.2932,0.5288727090133065,16.852,6.346607268777501,0.13538333333333333,0.206,0.1227364185110664,0.716,0.014,167,strong_ramp,6.0,ramp,0.5224941884315603,0.13538333333333333,0.206,22.69935174043758
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,9,500,72017.06239463379,600.1421866219482,0.2871833333333333,0.5289229785874081,16.55,6.40796647613039,0.13821666666666668,0.228,0.1609657947686116,0.742,0.014,169,strong_ramp,6.0,ramp,0.5159045725646123,0.13821666666666668,0.228,23.130153168737348
governance_demand_shock,d2.0_t2.0_r25,2.0,2.0,25,10,500,78928.546968781,657.7378914065083,0.2892333333333333,0.578903001011577,20.602,6.876214388555613,0.1386527777777778,0.262,0.1431451612903226,0.77,0.02,241,strong_ramp,6.0,ramp,0.5035868005738882,0.1386527777777778,0.262,23.218785636009056
