fleet_size,scenario,alpha,total_revenue,revenue_per_vehicle,service_rate,overload_frequency,mismatch,avg_idle,avg_unmet,avg_matched,price_avg_R1,price_min_R1,price_avg_R2,price_min_R2,price_avg_R3,price_min_R3,price_avg_R4,price_min_R4,price_avg_C,price_min_C,price_avg_A,price_min_A
60,interaction,0.075,27394.60744463966,456.5767907439943,0.7782118352802823,0.2544,0.06354444444444445,15.3182,4.7914,16.815,6.788728768126141,3.7236573126010475,5.832981534002323,2.6344938099406385,5.478998369441813,1.4207389446258791,5.321135621441629,1.439586086716973,1.237422423226709,1.0,2.081510229282176,1.0
60,interaction,0.15,29200.96749789845,486.6827916316408,0.7818500501845637,0.2444,0.06444333333333332,15.865,4.6528,16.6756,8.509126586469211,2.6073388790438456,6.007426938926984,1.5253194355504223,5.576224349503528,1.1611145736539932,5.598418708789174,1.0,1.1909372044639752,1.0,2.3795191467453813,1.0
60,interaction,0.3,32338.060131949438,538.967668865824,0.7878328334059651,0.23879999999999998,0.06512444444444444,16.4142,4.4458,16.5112,9.252805473898524,1.5343907538541983,7.143559347128997,1.0,6.969719823745471,1.0,6.702111004649666,1.0,1.1620394355589898,1.0,2.60766633604628,1.0
60,passive,0.3,77882.9,1298.0483333333334,0.5672836843345538,0.7102,0.12964666666666666,40.095,6.577800000000001,8.5764,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
60,pricing_only,0.075,35477.33967291207,591.2889945485346,0.6675957745304124,0.5442,0.09609055555555555,27.668200000000002,6.9244,13.907599999999999,10.151163543829329,1.0,9.845595126289977,1.2304732855760665,10.973177724820994,1.8279150614545177,10.464402609119679,1.3314118289054737,1.2374612476654752,1.0,5.6126142829351355,1.0
60,pricing_only,0.15,37293.13581518092,621.5522635863488,0.6859781448850717,0.5086,0.0942361111111111,27.555200000000003,6.3698,13.915199999999999,11.47926353740164,1.0559729129286133,10.912165017920099,1.0543775771267128,10.655158626986081,1.0924517624356853,11.209215100408874,1.0513507209538533,1.1750538005316158,1.0,6.594024929495535,1.0
60,pricing_only,0.3,38114.95973237383,635.2493288728972,0.7071693264719382,0.4532,0.092675,27.611200000000004,5.7518,13.889199999999999,11.831923702084072,1.0,11.717803255511559,1.0,11.665647923885073,1.1723965774886456,11.910120790252462,1.0,1.1309579445533984,1.0,7.517939499161055,1.0
60,rebalancing_only,0.3,89328.4,1488.8066666666668,0.7379298420556585,0.3778,0.10984555555555556,34.0854,3.5584000000000002,10.0134,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,25.0,25.0
80,interaction,0.075,25434.832825810747,317.9354103226343,0.785910162321717,0.23159999999999997,0.08711041666666666,34.3132,4.7092,17.2896,5.56358419243693,2.0800492402832162,5.073084661166037,1.4778111072858544,4.908261367561562,1.6985692955868033,4.948251258243053,1.017481894514746,1.171490988459648,1.0,1.9214888561022696,1.0
80,interaction,0.15,26609.90812174658,332.62385152183225,0.7890111724989186,0.2304,0.08819791666666667,35.052,4.5814,17.1328,5.889856191060911,1.287772161757632,5.658034443073097,1.0657876238745316,5.188725946577357,1.0309001916359732,5.415684701880842,1.0,1.1376190347026904,1.0,2.107713047586039,1.0
