scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,service_rate,avg_unmet_demand,price_volatility,spatial_imbalance,demand_supply_mismatch,imbalance_persistence,persistence_demand_supply_mismatch,vehicle_concentration,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,trips_served,avg_price,avg_idle_vehicles,avg_price_C,avg_price_A,avg_price_R1
passive,none,none,none,none,21,500,83808.0,1047.6,0.268525,0.3683057115463635,0.6316942884536365,5.378,0.0,0.13311666666666666,0.13311666666666666,0.112,0.112,14.705072479657588,0.0,0.606,0.0,23,4612,17.166666666666668,58.518,18.0,25.0,15.0
passive,none,none,none,none,22,500,81622.0,1020.275,0.260875,0.38725958259446186,0.6127404174055382,5.678,0.0,0.13501666666666667,0.13501666666666667,0.12,0.12,14.586794472742163,0.0,0.666,0.0,24,4492,17.166666666666668,59.13,18.0,25.0,15.0
passive,none,none,none,none,23,500,73933.0,924.1625,0.236825,0.4820975114271204,0.5179024885728796,7.594,0.0,0.14301666666666668,0.14301666666666668,0.292,0.292,18.922101152258627,0.0,0.722,0.0,26,4079,17.166666666666668,61.054,18.0,25.0,15.0
passive,none,none,none,none,24,500,80669.0,1008.3625,0.257075,0.3827724691870932,0.6172275308129068,5.528,0.0,0.1353375,0.1353375,0.142,0.142,15.811631211123748,0.0,0.64,0.0,23,4457,17.166666666666668,59.434,18.0,25.0,15.0
passive,none,none,none,none,25,500,81874.0,1023.425,0.263775,0.40344370860927153,0.5965562913907285,6.092,0.0,0.13539583333333333,0.13539583333333333,0.146,0.146,16.615873802340772,0.0,0.676,0.0,20,4504,17.166666666666668,58.898,18.0,25.0,15.0
passive,none,none,none,none,26,500,84563.0,1057.0375,0.27275,0.3754866425023493,0.6245133574976507,5.594,0.0,0.1328625,0.1328625,0.108,0.108,14.997207998724527,0.0,0.622,0.0,18,4652,17.166666666666668,58.18,18.0,25.0,15.0
passive,none,none,none,none,27,500,80569.0,1007.1125,0.25865,0.390665751544269,0.6093342484557309,5.692,0.0,0.13541666666666666,0.13541666666666666,0.16,0.16,14.911774895254148,0.0,0.626,0.0,18,4439,17.166666666666668,59.308,18.0,25.0,15.0
passive,none,none,none,none,28,500,76005.0,950.0625,0.24595,0.45051194539249145,0.5494880546075085,6.864,0.0,0.139975,0.139975,0.266,0.266,17.58509348867737,0.0,0.724,0.0,21,4186,17.166666666666668,60.324,18.0,25.0,15.0
passive,none,none,none,none,29,500,82430.0,1030.375,0.261575,0.36719944405837385,0.6328005559416261,5.284,0.0,0.13407916666666667,0.13407916666666667,0.134,0.134,15.424905626370203,0.0,0.57,0.0,19,4553,17.166666666666668,59.074,18.0,25.0,15.0
passive,none,none,none,none,30,500,84455.0,1055.6875,0.2706,0.3438116718353538,0.6561883281646461,4.878,0.0,0.13172916666666667,0.13172916666666667,0.088,0.088,14.323812776705147,0.0,0.58,0.0,16,4655,17.166666666666668,58.352,18.0,25.0,15.0
passive,none,none,none,none,31,500,82874.0,1035.925,0.266575,0.3864124597207304,0.6135875402792696,5.756,0.0,0.13422916666666668,0.13422916666666668,0.148,0.148,16.07090224465908,0.0,0.642,0.0,18,4570,17.166666666666668,58.674,18.0,25.0,15.0
passive,none,none,none,none,32,500,81179.0,1014.7375,0.258275,0.3934626339346263,0.6065373660653737,5.802,0.0,0.13570833333333335,0.13570833333333335,0.124,0.124,16.30924734542281,0.0,0.682,0.0,19,4472,17.166666666666668,59.338,18.0,25.0,15.0
passive,none,none,none,none,33,500,79609.0,995.1125,0.25245,0.39668174962292607,0.603318250377074,5.786,0.0,0.13664583333333333,0.13664583333333333,0.14,0.14,16.344264169255005,0.0,0.666,0.0,24,4400,17.166666666666668,59.804,18.0,25.0,15.0
passive,none,none,none,none,34,500,80877.0,1010.9625,0.257325,0.40555333066346283,0.5944466693365371,6.076,0.0,0.1364375,0.1364375,0.16,0.16,15.544725178379645,0.0,0.662,0.0,20,4453,17.166666666666668,59.414,18.0,25.0,15.0
passive,none,none,none,none,35,500,80080.0,1001.0,0.25555,0.37344104308390025,0.6265589569160998,5.27,0.0,0.13505416666666667,0.13505416666666667,0.144,0.144,15.485992908557469,0.0,0.588,0.0,21,4421,17.166666666666668,59.556,18.0,25.0,15.0
passive,none,none,none,none,36,500,83840.0,1048.0,0.268075,0.3826830571886692,0.6173169428113308,5.728,0.0,0.13392083333333332,0.13392083333333332,0.106,0.106,15.390923714831375,0.0,0.636,0.0,20,4620,17.166666666666668,58.554,18.0,25.0,15.0
passive,none,none,none,none,37,500,80117.0,1001.4625,0.258975,0.4354257782351428,0.5645742217648573,6.77,0.0,0.13760833333333333,0.13760833333333333,0.224,0.224,17.34962638656212,0.0,0.736,0.0,23,4389,17.166666666666668,59.282,18.0,25.0,15.0
passive,none,none,none,none,38,500,81568.0,1019.6,0.25675,0.37881508078994613,0.6211849192100538,5.486,0.0,0.13530416666666667,0.13530416666666667,0.152,0.152,15.745664530344351,0.0,0.632,0.0,17,4498,17.166666666666668,59.46,18.0,25.0,15.0
passive,none,none,none,none,39,500,82932.0,1036.65,0.2629,0.3744547437295529,0.6255452562704471,5.494,0.0,0.13429583333333334,0.13429583333333334,0.144,0.144,15.347168222075261,0.0,0.628,0.0,19,4589,17.166666666666668,58.968,18.0,25.0,15.0
passive,none,none,none,none,40,500,85135.0,1064.1875,0.272325,0.36375966363759665,0.6362403363624034,5.364,0.0,0.13245416666666668,0.13245416666666668,0.106,0.106,14.821507186922766,0.0,0.602,0.0,20,4691,17.166666666666668,58.214,18.0,25.0,15.0
passive,none,none,none,none,41,500,81386.0,1017.325,0.26035,0.41642838575513386,0.5835716142448661,6.408,0.0,0.136625,0.136625,0.172,0.172,15.539610772277179,0.0,0.716,0.0,18,4490,17.166666666666668,59.172,18.0,25.0,15.0
passive,none,none,none,none,42,500,82333.0,1029.1625,0.26375,0.3858747124881613,0.6141252875118387,5.704,0.0,0.13459166666666667,0.13459166666666667,0.132,0.132,16.40263425523856,0.0,0.622,0.0,24,4539,17.166666666666668,58.9,18.0,25.0,15.0
passive,none,none,none,none,43,500,79946.0,999.325,0.255925,0.4289979231568017,0.5710020768431983,6.61,0.0,0.13778333333333334,0.13778333333333334,0.22,0.22,15.85590512413874,0.0,0.728,0.0,24,4399,17.166666666666668,59.526,18.0,25.0,15.0
passive,none,none,none,none,44,500,79106.0,988.825,0.251975,0.41608485499462944,0.5839151450053706,6.198,0.0,0.13758333333333334,0.13758333333333334,0.164,0.164,15.872611122087608,0.0,0.672,0.0,26,4349,17.166666666666668,59.842,18.0,25.0,15.0
passive,none,none,none,none,45,500,82887.0,1036.0875,0.266225,0.3716643741403026,0.6283356258596974,5.404,0.0,0.13355416666666667,0.13355416666666667,0.144,0.144,14.588360715561741,0.0,0.62,0.0,19,4568,17.166666666666668,58.702,18.0,25.0,15.0
passive,none,none,none,none,46,500,82971.0,1037.1375,0.267925,0.40588771655594635,0.5941122834440536,6.232,0.0,0.13499583333333334,0.13499583333333334,0.154,0.154,16.318977511974655,0.0,0.674,0.0,20,4561,17.166666666666668,58.566,18.0,25.0,15.0
passive,none,none,none,none,47,500,84154.0,1051.925,0.27205,0.3890505157365776,0.6109494842634224,5.884,0.0,0.13358333333333333,0.13358333333333333,0.128,0.128,15.250459834137798,0.0,0.662,0.0,18,4620,17.166666666666668,58.236,18.0,25.0,15.0
passive,none,none,none,none,48,500,85958.0,1074.475,0.2758,0.3602106969205835,0.6397893030794165,5.334,0.0,0.1318125,0.1318125,0.086,0.086,13.005076952288388,0.0,0.6,0.0,19,4737,17.166666666666668,57.936,18.0,25.0,15.0
passive,none,none,none,none,49,500,83362.0,1042.025,0.268125,0.3624581939799331,0.6375418060200668,5.202,0.0,0.13281666666666667,0.13281666666666667,0.102,0.102,14.158731822452262,0.0,0.584,0.0,18,4575,17.166666666666668,58.55,18.0,25.0,15.0
passive,none,none,none,none,50,500,77288.0,966.1,0.248,0.43777220535832123,0.5622277946416787,6.634,0.0,0.13915416666666666,0.13915416666666666,0.24,0.24,17.033041040172648,0.0,0.71,0.0,27,4260,17.166666666666668,60.16,18.0,25.0,15.0
pricing_only,none,none,none,none,1,500,36520.81915708921,456.5102394636151,0.411,0.29637357178340784,0.7036264282165922,5.966,2.854821500693234,0.11059583333333334,0.11059583333333334,0.004,0.004,14.614306150669645,0.3393574297188755,0.45,0.0,21,7082,8.785598357874758,47.12,1.14036475418,7.760244764614856,12.41132143839114
pricing_only,none,none,none,none,2,500,37082.51015551074,463.53137694388425,0.4188,0.2911329560123126,0.7088670439876874,5.864,2.532136333078942,0.10908333333333334,0.10908333333333334,0.006,0.006,14.432054083748428,0.321285140562249,0.454,0.0,21,7139,8.792934743611779,46.496,1.059384484,6.829828297923326,10.313274977593407
pricing_only,none,none,none,none,3,500,37803.21323137759,472.5401653922198,0.401975,0.29945110794877006,0.7005488920512299,5.892,2.3771089041741402,0.11194583333333333,0.11194583333333333,0.006,0.006,15.018311475357304,0.30522088353413657,0.462,0.0,24,6892,9.262979005155739,47.842,1.09991058,8.348039427882936,11.416280840240415
pricing_only,none,none,none,none,4,500,39696.34652651169,496.2043315813961,0.40565,0.2874208699203594,0.7125791300796406,5.63,2.48285376766943,0.1107875,0.1107875,0.002,0.002,14.704474238798213,0.3112449799196787,0.426,0.0,22,6979,9.731298795903445,47.548,1.105768148,7.250707658026078,12.5515976617586
pricing_only,none,none,none,none,5,500,39696.94965843018,496.21187073037726,0.40365,0.3080664775030401,0.6919335224969598,6.08,3.0042147350800814,0.11205833333333333,0.11205833333333333,0.008,0.008,14.694157782898774,0.2570281124497992,0.474,0.0,22,6828,9.944192474070357,47.708,1.098971928,7.889411157570484,10.351764908728837
pricing_only,none,none,none,none,6,500,36111.56910294428,451.3946137868035,0.40015,0.3058823529411765,0.6941176470588235,6.084,3.047467471359882,0.11265,0.11265,0.012,0.012,14.859023263971677,0.285140562248996,0.496,0.0,22,6903,9.087614547514441,47.988,1.07678846,7.177899834273802,11.657917838117847
pricing_only,none,none,none,none,7,500,33810.6996906132,422.63374613266495,0.436325,0.2684609405363389,0.731539059463661,5.526,2.5249390695857263,0.10545833333333333,0.10545833333333333,0.006,0.006,13.686104421954257,0.2751004016064257,0.414,0.0,22,7529,7.616733397744164,45.094,1.0796128999999999,5.7772944590386714,9.072598923115304
pricing_only,none,none,none,none,8,500,38671.85259485039,483.39815743562986,0.399625,0.29452543582424306,0.7054745641757569,5.778,2.644621389369047,0.1121,0.1121,0.004,0.004,15.080628260793238,0.3413654618473896,0.454,0.0,23,6920,9.52888689126633,48.03,1.06844832,8.09599965228805,13.48733072520532
pricing_only,none,none,none,none,9,500,38558.1998539348,481.977498174185,0.397975,0.2862026103169671,0.713797389683033,5.526,2.4415778307461027,0.11185,0.11185,0.008,0.008,15.186412691550515,0.3132530120481928,0.4,0.0,19,6891,9.523685491905136,48.162,1.0758112,7.0333178036018635,13.544797920731611
pricing_only,none,none,none,none,10,500,38779.64721481534,484.74559018519176,0.405875,0.29435606444421925,0.7056439355557808,5.81,2.8056542842979892,0.111125,0.111125,0.01,0.01,14.785278742413649,0.27710843373493976,0.466,0.0,20,6964,9.609725935869427,47.53,1.0859798,6.568830229237601,12.978939348989392
pricing_only,none,none,none,none,11,500,35430.93023444549,442.88662793056864,0.416775,0.294473058637084,0.7055269413629159,5.946,2.5799875365653446,0.10959166666666667,0.10959166666666667,0.01,0.01,14.314132635109578,0.26706827309236947,0.444,0.0,22,7123,8.749840302367456,46.658,1.09153786,6.5287669889205535,10.447390927194869
pricing_only,none,none,none,none,12,500,35910.89018900498,448.88612736256226,0.416975,0.2956931227312862,0.7043068772687138,6.028,2.6421162805054856,0.10972916666666667,0.10972916666666667,0.014,0.014,14.371650629187712,0.2710843373493976,0.43,0.0,23,7179,8.581253621078877,46.642,1.09613588,7.729290852886203,9.868415335435685
pricing_only,none,none,none,none,13,500,39388.55140719401,492.35689258992517,0.3972,0.29551096400496485,0.7044890359950351,5.714,2.425291725659682,0.11237083333333334,0.11237083333333334,0.004,0.004,15.254047403730416,0.3112449799196787,0.436,0.0,19,6811,9.919694767935354,48.224,1.0652264,8.171775291796349,13.135256326200045
pricing_only,none,none,none,none,14,500,40648.169147992536,508.1021143499067,0.40055,0.2999080976207495,0.7000919023792505,5.874,2.6634304085955174,0.11214583333333333,0.11214583333333333,0.0,0.0,15.042867267591843,0.26104417670682734,0.492,0.0,16,6856,10.122065364048403,47.956,1.1508940078,8.53077503665662,14.168313445898443
pricing_only,none,none,none,none,15,500,37002.15360915734,462.5269201144668,0.4079,0.2841047503045067,0.7158952496954933,5.598,2.252303353403963,0.11034583333333334,0.11034583333333334,0.01,0.01,14.975542015636632,0.30120481927710846,0.446,0.0,19,7053,8.849000998910208,47.368,1.10693398,6.66238090849439,12.985397949371679
pricing_only,none,none,none,none,16,500,37043.436264030664,463.0429533003833,0.415875,0.28621801329840824,0.7137819867015918,5.682,2.7061745322624753,0.10919166666666667,0.10919166666666667,0.0,0.0,14.251268987736074,0.3072289156626506,0.44,0.0,18,7085,8.962713927541733,46.73,1.130066674,6.3160349583051,12.745957710570675
pricing_only,none,none,none,none,17,500,38344.40927483222,479.3051159354028,0.4003,0.29452550967608404,0.705474490323916,5.692,2.356263595744534,0.11180833333333333,0.11180833333333333,0.006,0.006,15.099860477099371,0.3353413654618474,0.45,0.0,21,6817,9.651746045183705,47.976,1.0971808,7.18431604794877,11.930640683485326
pricing_only,none,none,none,none,18,500,38380.82110022397,479.76026375279963,0.395475,0.3032258064516129,0.6967741935483871,5.922,2.8514210383533616,0.11309166666666666,0.11309166666666666,0.0,0.0,15.346601472753319,0.3353413654618474,0.48,0.0,20,6804,9.412945250642187,48.362,1.108026674,8.057531686252725,12.094781990173379
pricing_only,none,none,none,none,19,500,40772.99977515209,509.66249718940117,0.401925,0.29538554948391016,0.7046144505160898,5.838,2.6355756237892027,0.11184166666666667,0.11184166666666667,0.004,0.004,15.096664168830193,0.28313253012048195,0.436,0.0,17,6963,9.73632351454917,47.846,1.1499757792,9.325752527433242,13.78883074373896
pricing_only,none,none,none,none,20,500,39367.970424955834,492.0996303119479,0.404375,0.2956311169407729,0.7043688830592272,5.86,2.8872639730328595,0.11147916666666667,0.11147916666666667,0.0,0.0,15.010603648402151,0.3072289156626506,0.468,0.0,20,6981,9.718732905213788,47.65,1.0715578,8.835371682170921,12.71217399334171
